Frame,Visibility,X,Y
0,1,1016,320
4,1,988,363
7,1,985,313
11,1,997,227
15,1,1007,149
19,1,1018,90
22,1,1028,55
26,1,1039,20
30,0,0,0
34,1,1066,6
37,1,1073,9
41,1,1086,37
45,1,1103,107
49,1,1114,159
52,1,1124,220
56,1,1140,291
60,1,1186,261
64,1,1215,254
67,1,1222,257
71,1,1223,277
75,1,1221,313
79,1,1222,352
82,1,1221,402
86,1,1218,488
90,1,1215,624
94,1,1213,690
97,1,1203,639
101,1,1192,557
105,1,1179,481
108,1,1174,463
112,1,1162,438
116,1,1150,434
120,1,1130,434
123,1,1089,343
127,1,1052,267
131,1,992,179
135,1,926,100
138,1,901,79
142,1,848,50
146,1,800,44
150,1,733,72
153,1,705,97
157,1,672,138
161,1,628,208
165,1,617,283
168,1,697,258
172,1,776,247
176,1,836,257
180,1,887,290
183,1,907,324
187,1,927,280
191,1,935,210
194,1,950,128
198,1,962,77
202,1,981,19
206,0,0,0
209,0,0,0
213,0,0,0
217,0,0,0
221,0,0,0
224,1,1090,12
228,1,1111,68
232,1,1121,118
236,1,1137,198
239,1,1157,235
243,1,1208,142
247,1,1252,82
251,1,1286,51
254,1,1329,23
258,1,1361,14
262,1,1405,17
266,1,1436,32
269,1,1479,69
273,1,1529,144
277,1,1538,162
281,1,1551,257
284,1,1467,244
288,1,1375,250
292,1,1222,277
295,1,1165,298
299,1,1040,350
303,1,916,427
307,1,760,550
310,1,639,677
314,1,573,686
318,1,509,617
322,1,457,576
325,1,391,542
329,1,322,533
333,1,242,550
337,1,214,555
340,1,192,563
344,1,177,571
348,1,168,576
352,1,161,581
355,1,159,585
359,1,158,591
363,1,151,600
367,1,145,606
370,1,138,612
374,1,134,616
378,1,133,618
382,1,132,618
385,1,133,618
389,1,133,617
