Frame,Visibility,X,Y
0,1,1452,497
6,1,1362,206
9,1,1346,100
12,1,1337,12
15,0,0,0
18,0,0,0
21,0,0,0
24,0,0,0
27,0,0,0
31,0,0,0
34,0,0,0
37,0,0,0
40,0,0,0
43,1,1219,23
46,1,1203,107
49,1,1192,171
52,1,1177,271
55,1,1187,267
58,1,1199,223
61,1,1217,171
64,1,1228,140
67,1,1248,116
70,1,1266,107
73,1,1292,106
76,1,1327,123
79,1,1352,145
82,1,1390,188
85,1,1099,280
95,0,0,0
98,1,767,280
101,1,813,227
104,1,855,163
107,1,877,124
110,1,902,85
113,1,915,61
116,1,924,52
119,1,928,52
122,1,940,72
125,1,956,112
128,1,965,143
131,1,981,207
134,1,991,257
137,1,1008,352
140,1,1017,416
143,1,987,384
146,1,947,321
149,1,905,275
153,1,862,250
156,1,822,242
159,1,795,246
162,1,754,268
165,1,726,291
168,1,686,340
171,1,639,415
174,1,698,445
189,0,0,0
192,1,1355,352
195,1,1367,286
198,0,0,0
201,1,1423,214
204,1,1458,196
207,1,1490,196
210,1,1511,209
214,1,1536,240
217,1,1556,290
220,1,1567,337
223,1,1575,416
226,1,1578,480
229,1,1577,589
232,1,1559,575
235,1,1533,437
238,1,1500,269
241,1,1479,166
244,1,1451,39
247,0,0,0
250,0,0,0
253,0,0,0
256,0,0,0
259,0,0,0
262,0,0,0
265,0,0,0
268,0,0,0
271,0,0,0
275,0,0,0
278,0,0,0
281,0,0,0
284,0,0,0
287,0,0,0
290,0,0,0
293,1,1403,85
296,1,1414,147
299,1,1434,247
302,1,1329,247
311,1,855,291
320,1,508,373
323,1,552,294
326,1,594,225
329,1,617,188
332,1,651,143
336,1,683,114
339,1,715,100
342,1,747,105
345,1,771,126
348,1,786,149
351,1,808,200
354,1,821,241
357,1,840,320
360,1,848,377
363,1,854,469
