"task_number","file_name","frame_index","time_seconds","source_frame_index","source_time_seconds","rally_id","exclusion_reason"
"16","frame_000055.png","55","2.2886342812006317","583","24.259523380726698","1","human_unresolvable_motion_blur"
"17","frame_000059.png","59","2.4550804107424957","587","24.425969510268562","1","human_unresolvable_motion_blur"
"18","frame_000062.png","62","2.579915007898894","590","24.55080410742496","1","human_unresolvable_motion_blur"
"19","frame_000066.png","66","2.746361137440758","594","24.717250236966823","1","human_unresolvable_motion_blur"
"21","frame_000073.png","73","3.03764186413902","601","25.008530963665084","1","human_unresolvable_motion_blur"
"78","frame_000449.png","449","18.68357804107425","977","40.65446714060031","2","human_unresolvable_motion_blur"
"79","frame_000453.png","453","18.850024170616113","981","40.82091327014218","2","human_unresolvable_motion_blur"
"80","frame_000456.png","456","18.97485876777251","984","40.94574786729858","2","human_unresolvable_motion_blur"
"82","frame_000464.png","464","19.307751026856238","992","41.27864012638231","2","human_unresolvable_motion_blur"
"115","frame_000823.png","823","34.246291153238545","1351","56.21718025276461","3","human_unresolvable_motion_blur"
"116","frame_000826.png","826","34.371125750394945","1354","56.34201484992101","3","human_unresolvable_motion_blur"
"119","frame_000837.png","837","34.82885260663507","1365","56.799741706161136","3","human_unresolvable_motion_blur"
