split,match_name,rally_id,file_name,relative_path,local_frame_index,source_video,source_frame_index,source_time_seconds,requested_start_second,requested_end_second_inclusive,normalized_label_path,visibility,x_pixel,y_pixel
train,match04,2,match04_r02_frame_000000.png,train/match04/rally_02/images/match04_r02_frame_000000.png,0,match04.mp4,1452,62.123814,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000000.txt,1,565,674
train,match04,2,match04_r02_frame_000001.png,train/match04/rally_02/images/match04_r02_frame_000001.png,1,match04.mp4,1453,62.166599,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000001.txt,1,506,712
train,match04,2,match04_r02_frame_000002.png,train/match04/rally_02/images/match04_r02_frame_000002.png,2,match04.mp4,1454,62.209384,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000002.txt,1,516,683
train,match04,2,match04_r02_frame_000003.png,train/match04/rally_02/images/match04_r02_frame_000003.png,3,match04.mp4,1455,62.252169,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000003.txt,1,521,652
train,match04,2,match04_r02_frame_000004.png,train/match04/rally_02/images/match04_r02_frame_000004.png,4,match04.mp4,1456,62.294954,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000004.txt,1,528,624
train,match04,2,match04_r02_frame_000005.png,train/match04/rally_02/images/match04_r02_frame_000005.png,5,match04.mp4,1457,62.337739,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000005.txt,1,543,567
train,match04,2,match04_r02_frame_000006.png,train/match04/rally_02/images/match04_r02_frame_000006.png,6,match04.mp4,1458,62.380524,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000006.txt,1,551,540
train,match04,2,match04_r02_frame_000007.png,train/match04/rally_02/images/match04_r02_frame_000007.png,7,match04.mp4,1459,62.423309,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000007.txt,1,564,491
train,match04,2,match04_r02_frame_000008.png,train/match04/rally_02/images/match04_r02_frame_000008.png,8,match04.mp4,1460,62.466094,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000008.txt,1,571,467
train,match04,2,match04_r02_frame_000009.png,train/match04/rally_02/images/match04_r02_frame_000009.png,9,match04.mp4,1461,62.508879,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000009.txt,1,586,422
train,match04,2,match04_r02_frame_000010.png,train/match04/rally_02/images/match04_r02_frame_000010.png,10,match04.mp4,1462,62.551664,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000010.txt,1,591,404
train,match04,2,match04_r02_frame_000011.png,train/match04/rally_02/images/match04_r02_frame_000011.png,11,match04.mp4,1463,62.594449,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000011.txt,1,603,366
train,match04,2,match04_r02_frame_000012.png,train/match04/rally_02/images/match04_r02_frame_000012.png,12,match04.mp4,1464,62.637234,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000012.txt,1,615,333
train,match04,2,match04_r02_frame_000013.png,train/match04/rally_02/images/match04_r02_frame_000013.png,13,match04.mp4,1465,62.680019,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000013.txt,1,628,308
train,match04,2,match04_r02_frame_000014.png,train/match04/rally_02/images/match04_r02_frame_000014.png,14,match04.mp4,1466,62.722804,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000014.txt,1,636,296
train,match04,2,match04_r02_frame_000015.png,train/match04/rally_02/images/match04_r02_frame_000015.png,15,match04.mp4,1467,62.765589,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000015.txt,1,640,286
train,match04,2,match04_r02_frame_000016.png,train/match04/rally_02/images/match04_r02_frame_000016.png,16,match04.mp4,1468,62.808374,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000016.txt,1,646,276
train,match04,2,match04_r02_frame_000017.png,train/match04/rally_02/images/match04_r02_frame_000017.png,17,match04.mp4,1469,62.851159,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000017.txt,1,652,269
train,match04,2,match04_r02_frame_000018.png,train/match04/rally_02/images/match04_r02_frame_000018.png,18,match04.mp4,1470,62.893944,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000018.txt,1,660,262
train,match04,2,match04_r02_frame_000019.png,train/match04/rally_02/images/match04_r02_frame_000019.png,19,match04.mp4,1471,62.936729,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000019.txt,1,665,257
train,match04,2,match04_r02_frame_000020.png,train/match04/rally_02/images/match04_r02_frame_000020.png,20,match04.mp4,1472,62.979514,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000020.txt,1,665,257
train,match04,2,match04_r02_frame_000021.png,train/match04/rally_02/images/match04_r02_frame_000021.png,21,match04.mp4,1473,63.022299,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000021.txt,1,678,251
train,match04,2,match04_r02_frame_000022.png,train/match04/rally_02/images/match04_r02_frame_000022.png,22,match04.mp4,1474,63.065084,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000022.txt,1,692,248
train,match04,2,match04_r02_frame_000023.png,train/match04/rally_02/images/match04_r02_frame_000023.png,23,match04.mp4,1475,63.107869,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000023.txt,1,706,252
train,match04,2,match04_r02_frame_000024.png,train/match04/rally_02/images/match04_r02_frame_000024.png,24,match04.mp4,1476,63.150654,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000024.txt,1,713,254
train,match04,2,match04_r02_frame_000025.png,train/match04/rally_02/images/match04_r02_frame_000025.png,25,match04.mp4,1477,63.193439,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000025.txt,1,725,265
train,match04,2,match04_r02_frame_000026.png,train/match04/rally_02/images/match04_r02_frame_000026.png,26,match04.mp4,1478,63.236224,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000026.txt,1,725,265
train,match04,2,match04_r02_frame_000027.png,train/match04/rally_02/images/match04_r02_frame_000027.png,27,match04.mp4,1479,63.279009,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000027.txt,1,739,280
train,match04,2,match04_r02_frame_000028.png,train/match04/rally_02/images/match04_r02_frame_000028.png,28,match04.mp4,1480,63.321794,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000028.txt,1,746,288
train,match04,2,match04_r02_frame_000029.png,train/match04/rally_02/images/match04_r02_frame_000029.png,29,match04.mp4,1481,63.364579,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000029.txt,1,756,309
train,match04,2,match04_r02_frame_000030.png,train/match04/rally_02/images/match04_r02_frame_000030.png,30,match04.mp4,1482,63.407364,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000030.txt,1,763,321
train,match04,2,match04_r02_frame_000031.png,train/match04/rally_02/images/match04_r02_frame_000031.png,31,match04.mp4,1483,63.450149,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000031.txt,1,775,349
train,match04,2,match04_r02_frame_000032.png,train/match04/rally_02/images/match04_r02_frame_000032.png,32,match04.mp4,1484,63.492934,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000032.txt,1,780,365
train,match04,2,match04_r02_frame_000033.png,train/match04/rally_02/images/match04_r02_frame_000033.png,33,match04.mp4,1485,63.535719,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000033.txt,1,789,396
train,match04,2,match04_r02_frame_000034.png,train/match04/rally_02/images/match04_r02_frame_000034.png,34,match04.mp4,1486,63.578504,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000034.txt,1,800,434
train,match04,2,match04_r02_frame_000035.png,train/match04/rally_02/images/match04_r02_frame_000035.png,35,match04.mp4,1487,63.621289,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000035.txt,1,804,448
train,match04,2,match04_r02_frame_000036.png,train/match04/rally_02/images/match04_r02_frame_000036.png,36,match04.mp4,1488,63.664074,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000036.txt,1,803,418
train,match04,2,match04_r02_frame_000037.png,train/match04/rally_02/images/match04_r02_frame_000037.png,37,match04.mp4,1489,63.706859,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000037.txt,1,802,393
train,match04,2,match04_r02_frame_000038.png,train/match04/rally_02/images/match04_r02_frame_000038.png,38,match04.mp4,1490,63.749644,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000038.txt,1,797,343
train,match04,2,match04_r02_frame_000039.png,train/match04/rally_02/images/match04_r02_frame_000039.png,39,match04.mp4,1491,63.792429,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000039.txt,1,793,301
train,match04,2,match04_r02_frame_000040.png,train/match04/rally_02/images/match04_r02_frame_000040.png,40,match04.mp4,1492,63.835214,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000040.txt,1,790,281
train,match04,2,match04_r02_frame_000041.png,train/match04/rally_02/images/match04_r02_frame_000041.png,41,match04.mp4,1493,63.877999,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000041.txt,1,783,245
train,match04,2,match04_r02_frame_000042.png,train/match04/rally_02/images/match04_r02_frame_000042.png,42,match04.mp4,1494,63.920784,61.0,66.0,train/match04/rally_02/labels/match04_r02_frame_000042.txt,1,780,230
