Frame,Visibility,X,Y
0,1,565,674
1,1,506,712
2,1,516,683
3,1,521,652
4,1,528,624
5,1,543,567
6,1,551,540
7,1,564,491
8,1,571,467
9,1,586,422
10,1,591,404
11,1,603,366
12,1,615,333
13,1,628,308
14,1,636,296
15,1,640,286
16,1,646,276
17,1,652,269
18,1,660,262
19,1,665,257
20,1,665,257
21,1,678,251
22,1,692,248
23,1,706,252
24,1,713,254
25,1,725,265
26,1,725,265
27,1,739,280
28,1,746,288
29,1,756,309
30,1,763,321
31,1,775,349
32,1,780,365
33,1,789,396
34,1,800,434
35,1,804,448
36,1,803,418
37,1,802,393
38,1,797,343
39,1,793,301
40,1,790,281
41,1,783,245
42,1,780,230
43,1,771,203
44,1,767,192
45,1,758,175
46,1,754,169
47,1,748,165
48,1,744,163
49,1,739,164
50,1,735,166
51,1,730,168
52,1,726,173
53,1,726,173
54,1,722,179
55,1,716,193
56,1,713,202
57,1,710,211
58,1,707,220
59,1,704,233
60,1,702,245
61,1,699,259
62,1,696,275
63,1,693,291
